דמות,האם הדמות היא אישה?,האם הדמות עדיין בחיים?,האם הדמות בדיונית?,האם הדמות עוסקת במוזיקה?,האם הדמות עוסקת במדע?,האם הדמות עוסקת בפוליטיקה?,האם הדמות עוסקת בספורט?,האם היא דמות מסרט?,האם היא דמות מסדרת טלוויזיה?,האם היא דמות מספר?,האם הדמות שחקן.ית?,האם הדמות ישראלית?,האם הדמות היא סופר.ת?,האם הדמות מלכ.ה על?
איינשטיין,,,,,V,,,,,,,,,
ג'ון לנון,,,,V,,,,,,,,,,
מייקל ג'ורדן,,V,,,,,V,,,,,,,
הארי פוטר,,V,V,,,,,V,,V,,,,
עדה יונת,V,V,,,V,,,,,,,V,,
ג'סטין ביבר,,V,,V,,,,,,,,,,
מארי קירי,V,,,,V,,,,,,,,,
דוד בן גוריון,,,,,,V,,,,,,V,,
סרינה ויליאמס,V,V,,,,,V,,,,,,,
נועה קירל,V,V,,V,,,,,,,,V,,
יניב ביטון,,V,,,,,,,,,V,V,,
גיתית פישר,V,V,,,,,,,,,V,V,,
עבד רמזי,,V,V,,,,,,V,,,V,,
שי עגנון,,,,,,,,,,,,V,V,
עומר אדם,,V,,V,,,,,,,,V,,
מרי פופינס,V,V,V,,,,,V,,,,,,
דייגו מראדונה,,,,,,,V,,,,,,,
גולדה מאיר,V,,,,,V,,,,,,V,,
ג'יי.קיי רולינג,V,V,,,,,,,,,,,V,
גלילה רון פדר,V,V,,,,,,,,,,V,V,
לינוי אשרם,V,V,,,,,V,,,,,V,,
כוכבה שביט,V,V,V,,,,,,V,,,V,,
אסתר רדא,V,V,,V,,,,,,,,V,,
טיילור סוויפט,V,V,,V,,,,,,,,,,
מנור סולומון,,V,,,,,V,,,,,V,,
הראל גורדון,,V,,V,V,V,V,,,,,V,,V
